"Root","Raiz"
"Please add rows to option.","Por favor, adicione linhas a opção."
"New Option","Nova Opção"
"Select Product","Selecione o produto"
"Please select items.","Por favor, selecione itens."
"Choose existing category.","Escolha uma categoria existente."
"Create Category","Criar categoria"
"Image Detail","Image Detail"
"unselect all","desmarcar todos"
"Small","Small"
"Main","Main"
"Thumbnail","Miniatura"
"Custom image","Custom image"
"Product Fields Auto-Generation","Product Fields Auto-Generation"
"Mask for SKU","Máscara para SKU"
"Use {{name}} as Product Name placeholder","Usar {{name}} como espaço reservado para o nome do produto"
"Mask for Meta Title","Mask for Meta Title"
"Mask for Meta Keywords","Mask for Meta Keywords"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Use {{name}} as Product Name or {{sku}} as Product SKU placeholders"
"Mask for Meta Description","Mask for Meta Description"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Use {{name}} and {{description}} as Product Name and Product Description placeholders"
"Storefront","Storefront"
"List Mode","Modo de lista"
"Products per Page on Grid Allowed Values","Products per Page on Grid Allowed Values"
"Comma-separated.","Separados por vírgula."
"Products per Page on Grid Default Value","Products per Page on Grid Default Value"
"Must be in the allowed values list","Deve estar na lista de valores permitidos"
"Products per Page on List Allowed Values","Products per Page on List Allowed Values"
"Products per Page on List Default Value","Products per Page on List Default Value"
"Use Flat Catalog Category","Use Flat Catalog Category"
"Use Flat Catalog Product","Use Flat Catalog Product"
"Product Listing Sort by","Listagem de produto, ordenar por"
"Allow All Products per Page","Permitir todos os produtos por página"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","Whether to show ""All"" option in the ""Show X Per Page"" dropdown"
"Allow Dynamic Media URLs in Products and Categories","Allow Dynamic Media URLs in Products and Categories"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance."
"Product Image Placeholders","Espaços reservados da imagem de produto"
"Search Engine Optimization","Otimização de busca (SEO)"
"Page Title Separator","Separador do título da página"
"Use Canonical Link Meta Tag For Categories","Use Canonical Link Meta Tag For Categories"
"Use Canonical Link Meta Tag For Products","Use Canonical Link Meta Tag For Products"
"Catalog Price Scope","Catalog Price Scope"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"")."
"Category Top Navigation","Category Top Navigation"
"Maximal Depth","Profundidade máxima"
"Date & Time Custom Options","Date & Time Custom Options"
"Use JavaScript Calendar","Usar calendário JavaScript"
"Date Fields Order","Date Fields Order"
"Time Format","Formato de hora"
"Year Range","Intervalo de ano"
"Please use a four-digit year format.","Por favor, use o formato de quatro dígitos no ano."
"Product Image Watermarks","Product Image Watermarks"
"Watermark Default Size","Watermark Default Size"
"Watermark Opacity, Percent","Watermark Opacity, Percent"
"Watermark","Marca d'água"
"Watermark Position","Posição da marca d'água"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Use Static URLs for Media Content in WYSIWYG for Catalog"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes."
"Top Level Category","Top Level Category"
"Product Flat Data","Product Flat Data"
"Reorganize EAV product structure to flat structure","Reorganize EAV product structure to flat structure"
"Category Flat Data","Category Flat Data"
"Reorganize EAV category structure to flat structure","Reorganize EAV category structure to flat structure"
"Indexed category/products association","Indexed category/products association"
"Product Categories","Categorias de Produto"
"Indexed product/categories association","Indexed product/categories association"
"Product Price","Preço do Produto"
"Index product prices","Index product prices"
"Product EAV","Produto EAV"
"Index product EAV","Index product EAV"
"Catalog New Products List","Catalog New Products List"
"List of Products that are set as New","Lista de produtos definidos como novo"
"Display Type","Tipo de Exibição"
"All products - recently added products, New products - products marked as new","Todos os produtos - produtos recentemente adicionados, novos produtos - produtos marcados como novo"
"All products","All products"
"New products","Novos Produtos"
"Display Page Control","Exibir controle de página"
"Number of Products per Page","Número de produtos por página"
"Number of Products to Display","Número de produtos para exibir"
"Template","Template"
"New Products Grid Template","Novo modelo de grade de produtos"
"New Products List Template","Novo modelo de lista de produtos"
"New Products Images and Names Template","New Products Images and Names Template"
"New Products Names Only Template","New Products Names Only Template"
"New Products Images Only Template","New Products Images Only Template"
"Cache Lifetime (Seconds)","Cache Lifetime (Seconds)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Catalog Product Link","Catalog Product Link"
"Link to a Specified Product","Link para um produto especifico"
"Select Product...","Select Product..."
"Anchor Custom Text","Anchor Custom Text"
"If empty, we'll use the product name here.","Se estiver vazio, nós usaremos o nome do produto aqui."
"Anchor Custom Title","Anchor Custom Title"
"Product Link Block Template","Product Link Block Template"
"Product Link Inline Template","Product Link Inline Template"
"Catalog Category Link","Catalog Category Link"
"Link to a Specified Category","Link to a Specified Category"
"Select Category...","Select Category..."
"If empty, we'll use the category name here.","If empty, we'll use the category name here."
"Category Link Block Template","Category Link Block Template"
"Category Link Inline Template","Category Link Inline Template"
"Set","Definir"
"All Store Views","Todas as Visões de Loja"
"Delete items","Excluir itens"
"Delete selected items?","Deseja excluir os itens selecionados?"
"Change status","Alterar status"
"Enable","Habilitado"
"Disable","Desabilitado"
"Update attributes","Atualizar atributos"
"none","nenhum"
"Overview","Visão geral"
"Details","Detalhes"
